Date,Open,High,Low,Close,Adj Close,Volume
2023-08-14,1611.000000,1615.000000,1600.250000,1610.900024,1589.198853,15652205
2023-08-16,1583.099976,1609.650024,1581.300049,1606.199951,1584.562012,17068771
2023-08-17,1597.599976,1609.900024,1594.000000,1597.300049,1575.782104,26442020
2023-08-18,1587.550049,1596.300049,1585.500000,1590.750000,1569.320190,12816683
2023-08-21,1600.500000,1600.500000,1587.000000,1589.500000,1568.087036,10918635
2023-08-22,1596.349976,1598.000000,1580.000000,1582.699951,1561.378662,16136785
2023-08-23,1580.000000,1590.550049,1573.250000,1586.599976,1565.226074,18249294
2023-08-24,1593.300049,1596.199951,1576.150024,1579.300049,1558.024536,21572896
2023-08-25,1574.550049,1577.500000,1558.400024,1561.500000,1540.464233,15034878
2023-08-28,1561.500000,1582.650024,1561.500000,1577.750000,1556.495361,14433619
2023-08-29,1589.699951,1592.650024,1581.449951,1590.300049,1568.876343,17769466
2023-08-30,1603.949951,1603.949951,1573.699951,1578.699951,1557.432495,14042102
2023-08-31,1579.000000,1583.150024,1563.099976,1571.449951,1550.280151,50037886
2023-09-01,1571.000000,1579.000000,1559.349976,1574.699951,1553.486450,21613388
2023-09-04,1590.000000,1591.449951,1574.900024,1584.550049,1563.203857,12536819
2023-09-05,1588.400024,1588.400024,1570.599976,1574.900024,1553.683838,19356041
2023-09-06,1576.800049,1600.000000,1574.900024,1595.500000,1574.006226,28160455
2023-09-07,1595.500000,1614.000000,1587.150024,1610.849976,1589.149414,17104171
2023-09-08,1608.300049,1632.900024,1607.599976,1623.400024,1601.530396,17251105
2023-09-11,1628.900024,1636.500000,1624.000000,1631.800049,1609.817261,15786511
2023-09-12,1640.000000,1642.900024,1625.050049,1636.900024,1614.848511,19516670
2023-09-13,1631.300049,1651.599976,1628.599976,1643.900024,1621.754272,23210047
2023-09-14,1644.250000,1650.000000,1635.099976,1642.900024,1620.767700,11769424
2023-09-15,1650.000000,1670.000000,1650.000000,1661.750000,1639.363770,86705601
2023-09-18,1653.750000,1655.000000,1626.099976,1629.050049,1607.104370,18528144
2023-09-20,1599.000000,1599.000000,1560.400024,1563.699951,1542.634644,57737324
2023-09-21,1553.000000,1568.949951,1537.050049,1553.349976,1532.424072,36420721
2023-09-22,1559.000000,1564.400024,1523.750000,1529.650024,1509.043335,30852125
2023-09-25,1525.000000,1540.699951,1525.000000,1531.000000,1510.375122,20104377
2023-09-26,1525.000000,1540.000000,1525.000000,1537.650024,1516.935547,13787654
2023-09-27,1523.000000,1532.500000,1515.000000,1526.849976,1506.281006,19669269
2023-09-28,1534.000000,1537.599976,1518.349976,1523.699951,1503.173462,27677094
2023-09-29,1523.699951,1535.449951,1522.300049,1526.300049,1505.738525,16026891
2023-10-03,1527.000000,1527.000000,1506.000000,1508.050049,1487.734375,19485847
2023-10-04,1495.000000,1535.000000,1489.250000,1529.550049,1508.944702,27324715
2023-10-05,1535.050049,1551.550049,1532.599976,1535.750000,1515.061157,24256337
2023-10-06,1544.000000,1545.000000,1529.849976,1534.050049,1513.384155,8879678
2023-10-09,1528.000000,1530.000000,1512.000000,1516.250000,1495.823853,8227486
2023-10-10,1520.550049,1529.000000,1515.199951,1524.849976,1504.307983,16633146
2023-10-11,1530.099976,1542.150024,1528.500000,1539.599976,1518.859253,15666680
2023-10-12,1536.099976,1552.000000,1531.599976,1549.849976,1528.971191,11012668
2023-10-13,1540.000000,1548.800049,1529.949951,1535.750000,1515.061157,19872650
2023-10-16,1531.500000,1534.449951,1520.500000,1529.599976,1508.994019,8928042
2023-10-17,1555.750000,1555.750000,1535.000000,1541.199951,1520.437744,16451279
2023-10-18,1541.199951,1541.199951,1518.099976,1519.750000,1499.276733,15608100
2023-10-19,1505.400024,1526.250000,1503.199951,1514.949951,1494.541382,15126182
2023-10-20,1505.000000,1527.000000,1505.000000,1522.800049,1502.285645,10547005
2023-10-23,1523.500000,1528.750000,1500.099976,1506.050049,1485.761353,11188068
2023-10-25,1521.000000,1522.800049,1491.449951,1496.500000,1476.339966,14155998
2023-10-26,1491.250000,1492.000000,1460.250000,1463.400024,1443.685913,27780899
